,X,Y,FID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
1105,-9329835.8981,4857368.5864,1108,94,MERCY MEDICAL CENTER,1345 FOUNTAIN BLVD,SPRINGFIELD,OH,45504,NOT AVAILABLE,(937) 523-1000,GENERAL ACUTE CARE,CLOSED,-999,CLARK,39023,USA,39.940974693,-83.811341856,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov,2015/03/03 00:00:00,IMAGERY/OTHER,2015/05/22 00:00:00,http://www.community-mercy.org/imaging_center_main.asp,NOT AVAILABLE,NOT AVAILABLE,39,NON-PROFIT,-999,-999,NOT AVAILABLE,N
1109,-9111251.3741,4905379.3512,1112,3643812,COSHOCTON COUNTY MEMORIAL HOSPITAL,1460 ORANGE STREET,COSHOCTON,OH,43812,NOT AVAILABLE,(740) 622-6411,GENERAL ACUTE CARE,OPEN,56,COSHOCTON,39031,USA,40.2708463820001,-81.847763668,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.ccmh.com,1129,NOT AVAILABLE,39,NON-PROFIT,-999,56,NOT AVAILABLE,Y
1113,-9236916.4361,4985142.3774,1116,13444820,BUCYRUS COMMUNITY HOSPITAL,629 NORTH SANDUSKY AVENUE,BUCYRUS,OH,44820,NOT AVAILABLE,(419) 562-4677,CRITICAL ACCESS,OPEN,25,CRAWFORD,39033,USA,40.8153398970001,-82.976632127,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://avitahealth.org/home,1130,AVITA HEALTH BUCYRUS,39,NON-PROFIT,-999,25,NOT AVAILABLE,Y
1114,-9217505.1093,4972730.6905,1117,7644833,GALION COMMUNITY HOSPITAL,269 PORTLAND WAY SOUTH,GALION,OH,44833,NOT AVAILABLE,(419) 468-4841,CRITICAL ACCESS,OPEN,50,CRAWFORD,39033,USA,40.730903767,-82.802257211,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.galionhospital.org,1132,NOT AVAILABLE,39,NON-PROFIT,-999,50,NOT AVAILABLE,Y
1117,-9108621.5011,5078981.2029,1120,27844111,GRACE HOSPITAL AT FAIRVIEW,18101 LORAIN AVENUE,CLEVELAND,OH,44111,NOT AVAILABLE,(216) 456-3880,LONG TERM CARE,OPEN,29,CUYAHOGA,39035,USA,41.4502446440001,-81.824139117,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2016/09/15 00:00:00,http://www.gracehospital.org/,1147,NOT AVAILABLE,39,NON-PROFIT,-999,29,NOT AVAILABLE,Y
1123,-9084237.6698,5087286.6037,1126,1744106,UNIVERSITY HOSPITALS OF CLEVELAND,11100 EUCLID AVENUE,CLEVELAND,OH,44106,NOT AVAILABLE,(216) 844-1000,GENERAL ACUTE CARE,OPEN,1032,CUYAHOGA,39035,USA,41.506142051,-81.605095434,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.uhhospitals.org/cleveland,1142,NOT AVAILABLE,39,NON-PROFIT,-999,1032,LEVEL I,Y
1124,-9085985.0781,5086782.5414,1127,17044195,CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,OH,44195,NOT AVAILABLE,(216) 444-2200,GENERAL ACUTE CARE,OPEN,1268,CUYAHOGA,39035,USA,41.5027509610001,-81.620792669,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.clevelandclinic.org,1151,NOT AVAILABLE,39,NON-PROFIT,-999,1268,NOT AVAILABLE,Y
1125,-9071947.7905,5079271.4471,1128,10144122,UNIVERSITY HOSPITALS AHUJA MEDICAL CENTER,3999 RICHMOND ROAD,BEACHWOOD,OH,44122,NOT AVAILABLE,(216) 593-5500,GENERAL ACUTE CARE,OPEN,144,CUYAHOGA,39035,USA,41.4521988720001,-81.4946935689999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.uhhospitals.org/ahuja/,1497,NOT AVAILABLE,39,NON-PROFIT,-999,144,NOT AVAILABLE,Y
1126,-9098297.2373,5068868.6883,1129,14344129,PARMA COMMUNITY GENERAL HOSPITAL,7007 POWERS BOULEVARD,PARMA,OH,44129,NOT AVAILABLE,(440) 743-4900,GENERAL ACUTE CARE,OPEN,348,CUYAHOGA,39035,USA,41.3821198360001,-81.731394677,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/03/12 00:00:00,www.parmahospital.org,1007,NOT AVAILABLE,39,NON-PROFIT,-999,348,NOT AVAILABLE,Y
1127,-9421496.2823,4878926.4131,1130,16045331,WAYNE HOSPITAL,835 SWEITZER STREET,GREENVILLE,OH,45331,NOT AVAILABLE,(937) 548-1141,GENERAL ACUTE CARE,OPEN,104,DARKE,39037,USA,40.089291772,-84.634741097,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.waynehealthcare.org,1159,NOT AVAILABLE,39,NON-PROFIT,-999,104,NOT AVAILABLE,N
1131,-9249453.3183,4910438.5745,1134,12743015,GRADY MEMORIAL HOSPITAL,561 WEST CENTRAL AVENUE,DELAWARE,OH,43015,NOT AVAILABLE,(740) 615-1000,GENERAL ACUTE CARE,OPEN,152,DELAWARE,39041,USA,40.305514024,-83.089252856,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,https://www.ohiohealth.com/grady,1163,NOT AVAILABLE,39,NON-PROFIT,-999,152,NOT AVAILABLE,Y
1136,-9258550.2139,4881040.0172,1139,126843016,DUBLIN SPRINGS,7625 HOSPITAL DRIVE,DUBLIN,OH,43016,NOT AVAILABLE,(614) 717-1800,PSYCHIATRIC,OPEN,72,FRANKLIN,39049,USA,40.1038159390001,-83.170971659,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://www.dublinsprings.com/,1507,NOT AVAILABLE,39,PROPRIETARY,-999,72,NOT AVAILABLE,N
1170,-9081673.4115,4875668.1677,1173,129943725,CAMBRIDGE BEHAVORIAL HOSPITAL,66755 STATE STREET,CAMBRIDGE,OH,43725,NOT AVAILABLE,(813) 978-1933,PSYCHIATRIC,OPEN,66,GUERNSEY,39059,USA,40.066895839,-81.582060309,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/12 00:00:00,http://www.cbhohio.com/,1483,NOT AVAILABLE,39,PROPRIETARY,-999,66,NOT AVAILABLE,N
1171,-9081153.7751,4871970.8815,1174,2843725,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,1341 NORTH CLARK STREET,CAMBRIDGE,OH,43725,NOT AVAILABLE,(740) 439-8112,GENERAL ACUTE CARE,OPEN,189,GUERNSEY,39059,USA,40.0414731870001,-81.5773923359999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.seormc.org,1181,NOT AVAILABLE,39,NON-PROFIT,-999,189,NOT AVAILABLE,Y
1173,-9411381.2759,4749302.4149,1176,28645224,CHILDREN'S HOSPITAL MC - COLLEGE HILL,5642 HAMILTON AVENUE,CINCINNATI,OH,45224,NOT AVAILABLE,(513) 636-4200,PSYCHIATRIC,OPEN,74,HAMILTON,39061,USA,39.1926339440001,-84.5438764479999,622210,"CHILDREN'S HOSPITALS, PSYCHIATRIC OR SUBSTANCE ABUSE",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2016/09/20 00:00:00,https://www.cincinnatichildrens.org/service/p/psychiatry/programs,1446,NOT AVAILABLE,39,NON-PROFIT,-999,74,NOT AVAILABLE,N
1174,-9393243.4571,4751215.3656,1177,127645236,"JEWISH HOSPITAL, LLC",4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,NOT AVAILABLE,(513) 686-3000,GENERAL ACUTE CARE,OPEN,209,HAMILTON,39061,USA,39.2059509790001,-84.38094165,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://e-mercy.com/jewish-hospital.aspx,1003,NOT AVAILABLE,39,NON-PROFIT,-999,209,NOT AVAILABLE,Y
1176,-9407655.5054,4739061.5956,1179,28745219,"DRAKE CENTER FOR POST-ACUTE CARE, LLC",2139 AUBURN AVENUE,CINCINNATI,OH,45219,NOT AVAILABLE,(513) 418-2624,LONG TERM CARE,OPEN,30,HAMILTON,39061,USA,39.121299407,-84.510407282,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2016/09/20 00:00:00,http://uchealth.com/danieldrakecenter/locations-directions/christ-hospital-mt-auburn/,1512,NOT AVAILABLE,39,NON-PROFIT,-999,30,NOT AVAILABLE,Y
1177,-9407409.1854,4741661.1005,1180,9245220,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,CINCINNATI,OH,45220,NOT AVAILABLE,(513) 861-3100,MILITARY,OPEN,268,HAMILTON,39061,USA,39.1394136430001,-84.508194552,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/01/31 00:00:00,http://www.cincinnati.va.gov/,36003F,NOT AVAILABLE,39,GOVERNMENT - FEDERAL,-999,268,NOT AVAILABLE,N
1179,-9293005.7555,5104405.1496,1182,8043616,BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,43616,NOT AVAILABLE,(419) 690-7900,GENERAL ACUTE CARE,OPEN,91,LUCAS,39095,USA,41.6212019920001,-83.4804910559999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.promedica.org,1178,NOT AVAILABLE,39,NON-PROFIT,-999,91,NOT AVAILABLE,Y
1180,-9316478.0511,5117479.3876,1183,12343560,FLOWER HOSPITAL,5200 HARROUN ROAD,SYLVANIA,OH,43560,NOT AVAILABLE,(419) 824-1819,GENERAL ACUTE CARE,OPEN,559,LUCAS,39095,USA,41.7089406530001,-83.6913462749999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/03/12 00:00:00,http://www.promedica.org,1227,NOT AVAILABLE,39,NON-PROFIT,-999,559,NOT AVAILABLE,Y
1181,-9313998.2982,5119007.9085,1184,124943560,REGENCY HOSPITAL OF TOLEDO,5220 WEST ALEXIS ROAD,SYLVANIA,OH,43560,NOT AVAILABLE,(419) 318-5700,LONG TERM CARE,OPEN,45,LUCAS,39095,USA,41.7191904520001,-83.669070275,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://toledo.regencyhospital.com/,1470,NOT AVAILABLE,39,PROPRIETARY,-999,45,NOT AVAILABLE,N
1182,-9309168.285,5115192.0341,1185,9543623,MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,TOLEDO,OH,43623,NOT AVAILABLE,(419) 407-2400,GENERAL ACUTE CARE,OPEN,128,LUCAS,39095,USA,41.693599299,-83.625681529,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.mercyweb.org,1444,NOT AVAILABLE,39,NON-PROFIT,-999,128,NOT AVAILABLE,N
1194,-9373034.4433,4829425.5351,1197,29545417,RIVERVIEW HEALTH INSTITUTE,ONE ELIZABETH PLACE,DAYTON,OH,45417,NOT AVAILABLE,(937) 222-5390,GENERAL ACUTE CARE,OPEN,12,MONTGOMERY,39113,USA,39.7482480800001,-84.19940099,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2016/09/21 00:00:00,http://www.riverviewhealthinstitute.com/,1455,NOT AVAILABLE,39,PROPRIETARY,-999,12,NOT AVAILABLE,N
1196,-9378586.1137,4813433.0877,1199,129245342,SYCAMORE MEDICAL CENTER,4000 MIAMISBURG-CENTERVILLE ROAD,MIAMISBURG,OH,45342,NOT AVAILABLE,(937) 866-0551,GENERAL ACUTE CARE,OPEN,108,MONTGOMERY,39113,USA,39.637702931,-84.249272494,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/12 00:00:00,http://www.ketteringhealth.org/sycamore/,1031,NOT AVAILABLE,39,NON-PROFIT,-999,108,NOT AVAILABLE,Y
1198,-9376811.8921,4835117.6761,1201,6445406,GOOD SAMARITAN HOSPITAL,2222 PHILADELPHIA DRIVE,DAYTON,OH,45406,NOT AVAILABLE,(937) 278-2612,GENERAL ACUTE CARE,OPEN,491,MONTGOMERY,39113,USA,39.7875513380001,-84.23333439,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.goodsamdayton.com,1245,NOT AVAILABLE,39,NON-PROFIT,-999,491,NOT AVAILABLE,Y
1199,-9222865.0751,4945895.884,1202,13843338,MORROW COUNTY HOSPITAL,651 WEST MARION ROAD,MOUNT GILEAD,OH,43338,NOT AVAILABLE,(419) 949-3180,CRITICAL ACCESS,OPEN,22,MORROW,39117,USA,40.547981168,-82.850406603,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/01/31 00:00:00,http://www.morrowcountyhospital.com,1249,NOT AVAILABLE,39,GOVERNMENT - LOCAL,-999,22,NOT AVAILABLE,Y
1203,-9203247.0713,4995012.1259,1206,5144875,OHIOHEALTH SHELBY HOSPITAL,199 WEST MAIN STREET,SHELBY,OH,44875,NOT AVAILABLE,(419) 342-5015,CRITICAL ACCESS,OPEN,40,RICHLAND,39139,USA,40.882406732,-82.674175077,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,https://www.ohiohealth.com/shelby/,1259,MEDCENTRAL HEALTH SYSTEM SHELBY HOSPITAL,39,NON-PROFIT,-999,40,NOT AVAILABLE,N
1204,-9235912.7776,4778626.6655,1207,7945601,ADENA REGIONAL MEDICAL CENTER,272 HOSPITAL ROAD,CHILLICOTHE,OH,45601,NOT AVAILABLE,(740) 779-7500,GENERAL ACUTE CARE,OPEN,261,ROSS,39141,USA,39.3964977740001,-82.9676161089999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/03/12 00:00:00,http://www.adena.org,1029,NOT AVAILABLE,39,NON-PROFIT,-999,261,NOT AVAILABLE,Y
1218,-9263592.0022,5027659.3452,1221,11444883,MERCY TIFFIN HOSPITAL,45 ST LAWRENCE DRIVE,TIFFIN,OH,44883,NOT AVAILABLE,(419) 455-7000,GENERAL ACUTE CARE,OPEN,120,SENECA,39147,USA,41.103767023,-83.2162628139999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.mercyweb.org/mercy_tiffin.aspx,1267,NOT AVAILABLE,39,NON-PROFIT,-999,120,NOT AVAILABLE,Y
1244,-9082445.692,5014564.936,1247,3744203,SUMMA HEALTH SYSTEM BARBERTON HOSPITAL,155 5TH STREET N E,BARBERTON,OH,44203,NOT AVAILABLE,(234) 312-5026,GENERAL ACUTE CARE,OPEN,271,SUMMIT,39153,USA,41.0150713310001,-81.5889978229999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.summahealth.org/locations/hospitals/barberton,1279,NOT AVAILABLE,39,NON-PROFIT,-999,271,NOT AVAILABLE,Y
1245,-9074105.1332,5026753.398,1248,11344310,ST THOMAS HOSPITAL,444 NORTH MAIN STREET,AKRON,OH,44310,NOT AVAILABLE,(234) 312-5026,GENERAL ACUTE CARE,OPEN,392,SUMMIT,39153,USA,41.097634392,-81.514073309,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.summahealth.org/locations/hospitals/stthomas,1278,NOT AVAILABLE,39,NON-PROFIT,-999,392,NOT AVAILABLE,N
1247,-9082458.936,5014492.9708,1250,30044203,REGENCY HOSPITAL OF AKRON,"155 FIFTH STREET, NE",BARBERTON,OH,44203,NOT AVAILABLE,(717) 975-4503,LONG TERM CARE,OPEN,45,SUMMIT,39153,USA,41.014583541,-81.589116796,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2016/09/21 00:00:00,http://barberton.regencyhospital.com/,1442,NOT AVAILABLE,39,PROPRIETARY,-999,45,NOT AVAILABLE,Y
1283,-9085195.9203,5088344.1869,1286,1244106,LOUIS STOKES CLEVELAND VETERANS AFFAIRS MEDICAL CENTER,10701 EAST BLVD,CLEVELAND,OH,44106,NOT AVAILABLE,(216) 791-3800,MILITARY,OPEN,585,CUYAHOGA,39035,USA,41.5132563880001,-81.613703544,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/04 00:00:00,http://www.cleveland.va.gov/,36001F,NOT AVAILABLE,39,GOVERNMENT - FEDERAL,-999,585,NOT AVAILABLE,N
1474,-9287061.7292,4800453.9851,1477,122843160,FAYETTE COUNTY MEMORIAL HOSPITAL,1430 COLUMBUS AVENUE,WASHINGTON CH,OH,43160,NOT AVAILABLE,(740) 333-2705,CRITICAL ACCESS,OPEN,25,FAYETTE,39047,USA,39.5478569360001,-83.427094959,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.fcmh.org/,1168,NOT AVAILABLE,39,GOVERNMENT - LOCAL,-999,25,NOT AVAILABLE,Y
